Setting,ModelElement,precision,recall,f1,ModelID,LLM,,,,,
1-shot-h2s,attribute,0.4412,0.2656,0.3316,HBMS,gpt3,,,,,
1-shot-h2s,relationship,0.6333,0.3864,0.4800,LabTracker,gpt3,,,,,
1-shot-h2s,relationship,0.5000,0.1579,0.2400,CelO,gpt3,,,,,
1-shot-h2s,relationship,0.4000,0.1429,0.2106,TSS,gpt3,,,,,
1-shot-h2s,relationship,0.6000,0.2083,0.3093,SHAS,gpt3,,,,,
1-shot-h2s,relationship,0.3333,0.0500,0.0870,OTS,gpt3,,,,,
1-shot-h2s,relationship,0.5625,0.2632,0.3586,block223,gpt3,,,,,
1-shot-h2s,relationship,0.3333,0.1500,0.2069,Tile-O,gpt3,,,,,
1-shot-h2s,relationship,0.1333,0.0682,0.0902,HBMS,gpt3,,,,,
2-shot,class,0.9444,0.5625,0.7051,LabTracker,gpt3,,,,,
2-shot,class,0.9167,0.4375,0.5923,CelO,gpt3,,,,,
2-shot,class,0.8750,0.4688,0.6105,TSS,gpt3,,,,,
2-shot,class,0.8889,0.3913,0.5434,SHAS,gpt3,,,,,
2-shot,class,0.9400,0.5300,0.6778,OTS,gpt3,,,,,
2-shot,class,0.9091,0.6000,0.7229,block223,gpt3,,,,,
2-shot,class,0.7222,0.5278,0.6099,Tile-O,gpt3,,,,,
2-shot,class,0.8571,0.3947,0.5405,HBMS,gpt3,,,,,
2-shot,attribute,0.8667,0.5465,0.6703,LabTracker,gpt3,,,,,
2-shot,attribute,0.8182,0.5870,0.6836,CelO,gpt3,,,,,
2-shot,attribute,0.7500,0.5625,0.6429,TSS,gpt3,,,,,
2-shot,attribute,0.4444,0.2500,0.3200,SHAS,gpt3,,,,,
2-shot,attribute,0.7500,0.4000,0.5217,OTS,gpt3,,,,,
2-shot,attribute,0.4583,0.2333,0.3092,block223,gpt3,,,,,
2-shot,attribute,0.4333,0.0625,0.1092,Tile-O,gpt3,,,,,
2-shot,attribute,0.4130,0.2344,0.2991,HBMS,gpt3,,,,,
2-shot,relationship,0.9091,0.4091,0.5643,LabTracker,gpt3,,,,,
2-shot,relationship,0.7500,0.2632,0.3897,CelO,gpt3,,,,,
2-shot,relationship,0.4167,0.2381,0.3030,TSS,gpt3,,,,,
2-shot,relationship,0.5000,0.1667,0.2500,SHAS,gpt3,,,,,
2-shot,relationship,0.3600,0.2000,0.2571,OTS,gpt3,,,,,
2-shot,relationship,0.5769,0.1579,0.2479,block223,gpt3,,,,,
2-shot,relationship,0.3333,0.1000,0.1538,Tile-O,gpt3,,,,,
2-shot,relationship,0.4091,0.1136,0.1779,HBMS,gpt3,,,,,
cot,class,0.8750,0.4688,0.6105,LabTracker,gpt3,,,,,
cot,class,0.8571,0.4615,0.6000,CelO,gpt3,,,,,
cot,class,0.7143,0.3750,0.4918,TSS,gpt3,,,,,
cot,class,0.9583,0.6579,0.7801,SHAS,gpt3,,,,,
cot,class,1.0000,0.4375,0.6087,OTS,gpt3,,,,,
cot,class,0.8889,0.5333,0.6667,block223,gpt3,,,,,
cot,class,1.0000,0.4167,0.5882,Tile-O,gpt3,,,,,
cot,class,0.6667,0.3158,0.4286,HBMS,gpt3,,,,,
cot,attribute,0.6471,0.4767,0.5490,LabTracker,gpt3,,,,,
cot,attribute,0.5484,0.5652,0.5567,CelO,gpt3,,,,,
cot,attribute,0.5714,0.3125,0.4040,TSS,gpt3,,,,,
cot,attribute,0.3947,0.2656,0.3176,SHAS,gpt3,,,,,
cot,attribute,0.7500,0.2000,0.3158,OTS,gpt3,,,,,
cot,attribute,0.5769,0.2833,0.3800,block223,gpt3,,,,,
cot,attribute,0.3571,0.1250,0.1852,Tile-O,gpt3,,,,,
cot,attribute,0.2407,0.2344,0.2375,HBMS,gpt3,,,,,
cot,relationship,0.2857,0.0909,0.1379,LabTracker,gpt3,,,,,
cot,relationship,0.0000,0.0000,0.0000,CelO,gpt3,,,,,
cot,relationship,0.3333,0.1429,0.2000,TSS,gpt3,,,,,
cot,relationship,0.5455,0.2727,0.3636,SHAS,gpt3,,,,,
cot,relationship,0.5000,0.1250,0.2000,OTS,gpt3,,,,,
cot,relationship,0.0714,0.0263,0.0385,block223,gpt3,,,,,
cot,relationship,0.0625,0.0250,0.0357,Tile-O,gpt3,,,,,
cot,relationship,0.1111,0.0455,0.0645,HBMS,gpt3,,,,,
0-shot,class,1.0000,0.4375,0.6087,LabTracker,gpt3.5,,,,,
0-shot,class,0.9286,0.6154,0.7402,CelO,gpt3.5,,,,,
0-shot,class,0.8636,0.6250,0.7252,TSS,gpt3.5,,,,,
0-shot,class,1.0000,0.2826,0.4407,SHAS,gpt3.5,,,,,
0-shot,class,0.8571,0.3438,0.4907,OTS,gpt3.5,,,,,
0-shot,class,0.9000,0.3333,0.4865,block223,gpt3.5,,,,,
0-shot,class,0.7143,0.2778,0.4000,Tile-O,gpt3.5,,,,,
0-shot,class,0.7500,0.3684,0.4941,HBMS,gpt3.5,,,,,
0-shot,attribute,0.9091,0.2442,0.3850,LabTracker,gpt3.5,,,,,
0-shot,attribute,0.8958,0.8261,0.8595,CelO,gpt3.5,,,,,
0-shot,attribute,0.3485,0.3958,0.3707,TSS,gpt3.5,,,,,
0-shot,attribute,0.3000,0.1731,0.2195,SHAS,gpt3.5,,,,,
0-shot,attribute,0.4833,0.4200,0.4494,OTS,gpt3.5,,,,,
0-shot,attribute,0.3235,0.1833,0.2340,block223,gpt3.5,,,,,
0-shot,attribute,0.1000,0.0625,0.0769,Tile-O,gpt3.5,,,,,
0-shot,attribute,0.5179,0.4219,0.4650,HBMS,gpt3.5,,,,,
0-shot,relationship,0.2143,0.0682,0.1034,LabTracker,gpt3.5,,,,,
0-shot,relationship,0.0714,0.0526,0.0606,CelO,gpt3.5,,,,,
0-shot,relationship,0.3333,0.1429,0.2000,TSS,gpt3.5,,,,,
0-shot,relationship,0.5000,0.1250,0.2000,SHAS,gpt3.5,,,,,
0-shot,relationship,0.0000,0.0000,0.0000,OTS,gpt3.5,,,,,
0-shot,relationship,0.1818,0.1316,0.1527,block223,gpt3.5,,,,,
0-shot,relationship,0.2083,0.1250,0.1563,Tile-O,gpt3.5,,,,,
0-shot,relationship,0.2500,0.0909,0.1333,HBMS,gpt3.5,,,,,
1-shot-btms,class,0.9500,0.5936,0.7308,LabTracker,gpt3.5,,,,,
1-shot-btms,class,0.9286,0.6153,0.7402,CelO,gpt3.5,,,,,
1-shot-btms,class,1.0000,0.5938,0.7451,TSS,gpt3.5,,,,,
1-shot-btms,class,1.0000,0.3478,0.5161,SHAS,gpt3.5,,,,,
1-shot-btms,class,0.9000,0.2813,0.4286,OTS,gpt3.5,,,,,
1-shot-btms,class,0.8500,0.5667,0.6800,block223,gpt3.5,,,,,
1-shot-btms,class,0.9545,0.6944,0.8040,Tile-O,gpt3.5,,,,,
1-shot-btms,class,1.0000,0.3421,0.5098,HBMS,gpt3.5,,,,,
1-shot-btms,attribute,0.6250,0.5000,0.5556,LabTracker,gpt3.5,,,,,
1-shot-btms,attribute,0.8043,0.7609,0.7820,CelO,gpt3.5,,,,,
1-shot-btms,attribute,0.9000,0.2917,0.4406,TSS,gpt3.5,,,,,
1-shot-btms,attribute,0.3750,0.1923,0.2542,SHAS,gpt3.5,,,,,
1-shot-btms,attribute,0.5556,0.2000,0.2941,OTS,gpt3.5,,,,,
1-shot-btms,attribute,0.2931,0.3167,0.3044,block223,gpt3.5,,,,,
1-shot-btms,attribute,0.5714,0.1250,0.2051,Tile-O,gpt3.5,,,,,
1-shot-btms,attribute,0.4565,0.2813,0.3481,HBMS,gpt3.5,,,,,
1-shot-btms,relationship,0.7273,0.3182,0.4427,LabTracker,gpt3.5,,,,,
1-shot-btms,relationship,0.6667,0.2895,0.4037,CelO,gpt3.5,,,,,
1-shot-btms,relationship,0.2917,0.3095,0.3003,TSS,gpt3.5,,,,,
1-shot-btms,relationship,0.1923,0.1042,0.1351,SHAS,gpt3.5,,,,,
1-shot-btms,relationship,0.0333,0.0250,0.0286,OTS,gpt3.5,,,,,
1-shot-btms,relationship,0.0500,0.0526,0.0513,block223,gpt3.5,,,,,
1-shot-btms,relationship,0.4167,0.2500,0.3125,Tile-O,gpt3.5,,,,,
1-shot-btms,relationship,0.2222,0.0909,0.1290,HBMS,gpt3.5,,,,,
1-shot-h2s,class,0.9500,0.5625,0.7066,LabTracker,gpt3.5,,,,,
1-shot-h2s,class,0.6500,0.6154,0.6322,CelO,gpt3.5,,,,,
1-shot-h2s,class,0.7500,0.5625,0.6429,TSS,gpt3.5,,,,,
1-shot-h2s,class,0.9091,0.5000,0.6452,SHAS,gpt3.5,,,,,
1-shot-h2s,class,0.7727,0.4375,0.5587,OTS,gpt3.5,,,,,
1-shot-h2s,class,0.9167,0.6667,0.7719,block223,gpt3.5,,,,,
1-shot-h2s,class,0.7500,0.6667,0.7059,Tile-O,gpt3.5,,,,,
1-shot-h2s,class,0.8571,0.3684,0.5153,HBMS,gpt3.5,,,,,
1-shot-h2s,attribute,0.6486,0.3953,0.4913,LabTracker,gpt3.5,,,,,
1-shot-h2s,attribute,0.7391,0.5000,0.5965,CelO,gpt3.5,,,,,
1-shot-h2s,attribute,0.4375,0.3125,0.3646,TSS,gpt3.5,,,,,
1-shot-h2s,attribute,0.3529,0.3269,0.3394,SHAS,gpt3.5,,,,,
1-shot-h2s,attribute,0.3750,0.3400,0.3566,OTS,gpt3.5,,,,,
1-shot-h2s,attribute,0.2813,0.3167,0.2979,block223,gpt3.5,,,,,
1-shot-h2s,attribute,0.5385,0.1875,0.2781,Tile-O,gpt3.5,,,,,
1-shot-h2s,attribute,0.5263,0.2813,0.3666,HBMS,gpt3.5,,,,,
1-shot-h2s,relationship,0.3333,0.0909,0.1249,LabTracker,gpt3.5,,,,,
1-shot-h2s,relationship,0.3824,0.2632,0.3118,CelO,gpt3.5,,,,,
1-shot-h2s,relationship,0.0833,0.0476,0.0606,TSS,gpt3.5,,,,,
1-shot-h2s,relationship,0.4583,0.2292,0.3056,SHAS,gpt3.5,,,,,
1-shot-h2s,relationship,0.2500,0.2000,0.2222,OTS,gpt3.5,,,,,
1-shot-h2s,relationship,0.3947,0.2632,0.3158,block223,gpt3.5,,,,,
1-shot-h2s,relationship,0.2400,0.2750,0.2563,Tile-O,gpt3.5,,,,,
1-shot-h2s,relationship,0.2727,0.0909,0.1364,HBMS,gpt3.5,,,,,
2-shot,class,0.7917,0.6250,0.6985,LabTracker,gpt3.5,,,,,
2-shot,class,0.9375,0.6154,0.7430,CelO,gpt3.5,,,,,
2-shot,class,0.8750,0.4688,0.6105,TSS,gpt3.5,,,,,
2-shot,class,0.9091,0.5000,0.6452,SHAS,gpt3.5,,,,,
2-shot,class,0.8182,0.5625,0.6667,OTS,gpt3.5,,,,,
2-shot,class,0.9000,0.6000,0.7200,block223,gpt3.5,,,,,
2-shot,class,0.9091,0.6389,0.7504,Tile-O,gpt3.5,,,,,
2-shot,class,0.8000,0.3947,0.5286,HBMS,gpt3.5,,,,,
2-shot,attribute,0.7857,0.4884,0.6023,LabTracker,gpt3.5,,,,,
2-shot,attribute,0.5345,0.6957,0.6045,CelO,gpt3.5,,,,,
2-shot,attribute,0.7500,0.3958,0.5182,TSS,gpt3.5,,,,,
2-shot,attribute,0.5833,0.3654,0.4493,SHAS,gpt3.5,,,,,
2-shot,attribute,0.6905,0.4800,0.5663,OTS,gpt3.5,,,,,
2-shot,attribute,0.4091,0.2167,0.2833,block223,gpt3.5,,,,,
2-shot,attribute,0.5556,0.2500,0.3448,Tile-O,gpt3.5,,,,,
2-shot,attribute,0.4423,0.3281,0.3768,HBMS,gpt3.5,,,,,
2-shot,relationship,0.5625,0.3636,0.4417,LabTracker,gpt3.5,,,,,
2-shot,relationship,0.5385,0.3947,0.4555,CelO,gpt3.5,,,,,
2-shot,relationship,0.1667,0.0952,0.1212,TSS,gpt3.5,,,,,
2-shot,relationship,0.3889,0.1458,0.2121,SHAS,gpt3.5,,,,,
2-shot,relationship,0.3438,0.1750,0.2319,OTS,gpt3.5,,,,,
2-shot,relationship,0.5625,0.2895,0.3822,block223,gpt3.5,,,,,
2-shot,relationship,0.3333,0.1750,0.2295,Tile-O,gpt3.5,,,,,
2-shot,relationship,0.2500,0.1136,0.1563,HBMS,gpt3.5,,,,,
cot,class,1.0000,0.4063,0.5778,LabTracker,gpt3.5,,,,,
cot,class,1.0000,0.5385,0.7000,CelO,gpt3.5,,,,,
cot,class,0.8750,0.4063,0.5549,TSS,gpt3.5,,,,,
cot,class,1.0000,0.4783,0.6471,SHAS,gpt3.5,,,,,
cot,class,0.8333,0.3125,0.4545,OTS,gpt3.5,,,,,
cot,class,1.0000,0.5333,0.6957,block223,gpt3.5,,,,,
cot,class,0.6111,0.4167,0.4955,Tile-O,gpt3.5,,,,,
cot,class,0.6364,0.3947,0.4872,HBMS,gpt3.5,,,,,
cot,attribute,0.8043,0.3837,0.5196,LabTracker,gpt3.5,,,,,
cot,attribute,0.9074,0.8261,0.8648,CelO,gpt3.5,,,,,
cot,attribute,0.5625,0.2917,0.3841,TSS,gpt3.5,,,,,
cot,attribute,0.5357,0.3846,0.4478,SHAS,gpt3.5,,,,,
cot,attribute,0.8636,0.2600,0.3997,OTS,gpt3.5,,,,,
cot,attribute,0.3621,0.3167,0.3378,block223,gpt3.5,,,,,
cot,attribute,0.4167,0.0000,0.0000,Tile-O,gpt3.5,,,,,
cot,attribute,0.4483,0.3750,0.4084,HBMS,gpt3.5,,,,,
cot,relationship,0.7500,0.2045,0.3214,LabTracker,gpt3.5,,,,,
cot,relationship,0.0000,0.0000,0.0000,CelO,gpt3.5,,,,,
cot,relationship,0.0000,0.0000,0.0000,TSS,gpt3.5,,,,,
cot,relationship,0.5909,0.2708,0.3714,SHAS,gpt3.5,,,,,
cot,relationship,0.1111,0.0250,0.0408,OTS,gpt3.5,,,,,
cot,relationship,0.0909,0.0526,0.0667,block223,gpt3.5,,,,,
cot,relationship,0.0333,0.0250,0.0286,Tile-O,gpt3.5,,,,,
cot,relationship,0.1333,0.0909,0.1081,HBMS,gpt3.5,,,,,
